"f_file","q_file","K_detected","n_inds","K_from_name","ok","fail_reason"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-1_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-10_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-2_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-3_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-4_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-5_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-6_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-7_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-8_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-9_f.Q",3,278,3,TRUE,"ok"
