"f_file","q_file","K_detected","n_inds","K_from_name","ok"
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-11_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-12_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-13_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-14_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-15_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-16_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-17_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-18_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-19_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-2_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-20_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-3_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-4_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-5_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-6_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-7_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-8_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K11-9_f",NA,NA,NA,11,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K12-1_f",NA,NA,NA,12,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K12-10_f",NA,NA,NA,12,FALSE
